2077,27.289179999999998,1254.5088600000001,10893.69032,11214.8861,13026.109040000001,,3189.3832,4553.914199999999,2591.5404128,14131.862908,3139.6202248,283.67140000000006,4827.2892,11525.3923,13586.1989,9820.0564,285.553,4925.3275,10374.8395,12685.4259,6626.379100099999,40.90680859,1202.3569750000001,8532.190700000001,14687.976999999999,14850.611486,6293.5293,39.522761718,1131.75325,9198.9028,12997.735200000001,14982.484416,6660.6437,38.491453904,1234.155725,8144.283700000001,13802.288,15053.395301999999,6563.4389,39.28191641,1162.6692500000001,8434.3915,14737.9556,14766.722962,6558.8458,37.835924218,1103.9843250000001,9176.4772,13506.138799999999,15153.281816,6645.9761,13630.993,15581.46039,13718.985,1441.0810198000001,11242.235102,20488.79694,14463.135967999999,4281.3958396,28.05951,1118.87787,11185.75049,12302.983629999999,2982.66215,28.647489999999998,1466.73487,11789.45326,11165.74898,9313.60151,452.62244634,330.18486157,10977.9315482,6084.2339694,8856.842882899999,160.36710672,6618.7181961,5787.0997345999995,3911.9782359,15336.708724,160.14018187,7237.993045700001,7905.341259000001,4483.2328853,14121.504692000002,221.0012063,6934.6236,2359.6849,8375.7290433,3908.7403937999998,250.4213,2940.295,14600.7001,13495.857,9764.683869,4540.699786700001,275.73,4561.0724,12139.8108,13417.619,9665.785069000001,4387.0937302,43.382999999999996,985.4,26629.0,9107.5,11510.0,39.469,1515.2,37895.0,10886.8,15190.0,39.711,2822.5,31807.0,17978.0,21270.0,813.58177286,10651.998112500001,26148.063861,13917.877687999999,1120.0970703,7530.8348876,23225.724972,13848.254409000001,28.1055,1507.35288,11728.580880000001,7614.29672,3334.8156,4161.0571875,2213.0364361,14763.006195,2316.5253281,267.80647280000005,5085.2804321,12674.225829,14537.497034,12609.809854,5618.8568893,40.503240587,2661.2329102999997,7617.1140135,6353.173291,14176.854691999999,748.76539,10091.4748,13230.223,622.67071011,9781.9329115,14659.214314,7198.684365499999,4044.9766503,582.48997457,10581.0994066,15489.133507,11070.6214705,4067.5691735999994
2078,27.66382,1269.58854,10933.50358,11259.172,13053.86126,,3223.9048,4617.2498,2505.1607752,14161.668392,3090.0641482,283.5656,4849.2138,11733.859199999999,13829.086599999999,10185.5886,285.969,4953.078,10620.443,12887.0246,6961.3397334,41.52690234,1200.487275,8686.5968,14684.110999999999,15071.749924,6349.8767,39.975058592,1129.696875,9372.204199999998,13220.373800000001,15153.401074000001,6710.9273,39.408624216,1241.94765,8316.7268,13700.182999999999,15310.968318,6619.6126,39.60674766,1165.441875,8592.859999999999,14726.3794,14993.367768,6614.6152,38.514021092,1101.564425,9332.8488,13732.4072,15389.643324,6686.7594,13745.032000000001,15610.55436,13834.25,1449.9122272,11472.668198,20873.18916,14748.222072,4320.3146024,28.362740000000002,1117.37338,11251.504060000001,12293.301019999999,2997.1857,29.03246,1493.2702800000002,11948.00604,11182.34202,9396.81114,446.97845266,334.44431438000004,11155.4688688,6081.5667986,9049.931936599998,160.39047968,6726.3196214,5893.4757733999995,3961.2628436000005,15649.757106,160.27966798,7366.190243800001,8034.2667200000005,4553.8716962,14360.773338,226.08660630000003,7025.3054,2368.347975,8608.1439142,3947.8278641999996,254.2182,3031.0699999999997,14902.7134,13890.948,9919.156136,4569.6467608,276.51,4575.6156,12354.7602,13728.498000000001,10017.284936,4416.6755298,43.391999999999996,986.1,26956.0,9110.0,11540.0,39.466,1504.8,38790.0,11051.2,15260.0,39.634,2818.0,32888.0,18342.0,21380.0,809.43738104,10758.426255,26376.684324,14345.126881999999,1123.4628012,7542.2839914,23329.586248,14269.331336000001,28.5018,1537.69242,11844.48892,7611.06998,3375.2044,4219.779125,2127.0000564,14821.6869,2302.6028394,270.87634280000003,5107.3082114,12946.307536,14922.857886000002,12730.388836,5701.3648992,40.676151278,2655.7553712,7720.878906,6452.375293,14570.699027999999,751.3261600000001,10325.2032,13310.792,632.04660444,10027.900921,14953.526126,7209.884673,4102.7297772,591.1522179799999,10799.1086344,15780.183448000002,11392.891667,4119.5088294
2079,28.03846,1284.66822,10973.31684,11303.4579,13081.61348,,3258.4264,4680.585399999999,2418.7811376,14191.473875999998,3040.5080715999998,283.45980000000003,4871.1384,11942.3261,14071.9743,10551.1208,286.385,4980.8285000000005,10866.0465,13088.6233,7296.300366699999,42.146996089999995,1198.617575,8841.0029,14680.244999999999,15292.888362,6406.2241,40.427355466,1127.6405,9545.505599999999,13443.012400000001,15324.317732000001,6761.2109,40.325794527999996,1249.739575,8489.1699,13598.078,15568.541334,6675.7863,39.93157891,1168.2145,8751.3285,14714.803199999998,15220.012574,6670.3846,39.192117966000005,1099.1445250000002,9489.220399999998,13958.675599999999,15626.004832,6727.5427,13859.071,15639.64833,13949.515000000001,1458.7434346,11703.101294,21257.58138,15033.308176,4359.2333652,28.66597,1115.86889,11317.25763,12283.61841,3011.7092500000003,29.41743,1519.8056900000001,12106.55882,11198.93506,9480.020770000001,441.33445897999997,338.70376719,11333.0061894,6078.8996278,9243.0209903,160.41385264000002,6833.921046699999,5999.8518122,4010.5474513000004,15962.805487999998,160.41915408999998,7494.387441900001,8163.192181000001,4624.5105071,14600.041984000001,231.17200630000002,7115.9872,2377.01105,8840.5587851,3986.9153346,258.0151,3121.845,15204.7267,14286.038999999999,10073.628403,4598.5937349000005,277.28999999999996,4590.1588,12569.7096,14039.377,10368.784803,4446.2573294,43.400999999999996,986.8,27283.0,9112.5,11570.0,39.463,1494.4,39685.0,11215.6,15330.0,39.556999999999995,2813.5,33969.0,18706.0,21490.0,805.29298922,10864.8543975,26605.304787,14772.376075999999,1126.8285321,7553.7330952,23433.447524,14690.408263000001,28.8981,1568.03196,11960.39696,7607.84324,3415.5932,4278.5010624999995,2040.9636767,14880.367605,2288.6803507,273.94621280000007,5129.3359907,13218.389243000001,15308.218738000001,12850.967818000001,5783.8729091000005,40.849061969000005,2650.2778320999996,7824.643798499999,6551.577295,14964.543364,753.88693,10558.9316,13391.361,641.42249877,10273.8689305,15247.837938,7221.084980499999,4160.4829041,599.81446139,11017.1178622,16071.233389,11715.1618635,4171.4484852
2080,28.4131,1299.7479,11013.1301,11347.7438,13109.3657,,3292.948,4743.920999999999,2332.4015,14221.279359999999,2990.951995,283.35400000000004,4893.063,12150.793,14314.862,10916.653,286.801,5008.579000000001,11111.65,13290.222,7631.2609999999995,42.76708984,1196.747875,8995.409,14676.378999999999,15514.0268,6462.5715,40.87965234,1125.584125,9718.806999999999,13665.651000000002,15495.234390000001,6811.4945,41.24296484,1257.5315,8661.613000000001,13495.973,15826.11435,6731.96,40.25641016,1170.987125,8909.796999999999,14703.226999999999,15446.65738,6726.154,39.87021484,1096.724625,9645.591999999999,14184.944,15862.36634,6768.326,13973.11,15668.7423,14064.78,1467.574642,11933.53439,21641.9736,15318.39428,4398.152128,28.9692,1114.3644,11383.0112,12273.9358,3026.2328,29.8024,1546.3411,12265.1116,11215.5281,9563.2304,435.69046529999997,342.96322000000004,11510.54351,6076.232457,9436.110044,160.4372256,6941.522472,6106.227851,4059.8320590000003,16275.853869999999,160.55864019999999,7622.584640000001,8292.117642000001,4695.149318,14839.310630000002,236.2574063,7206.669,2385.674125,9072.973656,4026.0028049999996,261.812,3212.62,15506.74,14681.13,10228.10067,4627.540709000001,278.07,4604.702,12784.659,14350.256000000001,10720.284670000001,4475.839129,43.41,987.5,27610.0,9115.0,11600.0,39.46,1484.0,40580.0,11380.0,15400.0,39.48,2809.0,35050.0,19070.0,21600.0,801.1485974,10971.28254,26833.92525,15199.625269999999,1130.194263,7565.182199,23537.3088,15111.485190000001,29.2944,1598.3715,12076.305,7604.6165,3455.982,4337.223,1954.927297,14939.04831,2274.757862,277.01608280000005,5151.36377,13490.47095,15693.579590000001,12971.5468,5866.380919,41.02197266,2644.800293,7928.408691,6650.779297,15358.3877,756.4477,10792.66,13471.93,650.7983931,10519.836940000001,15542.14975,7232.285287999999,4218.236031,608.4767048,11235.12709,16362.283330000002,12037.43206,4223.388140999999
2081,28.7909,1319.29148,11089.5237,11430.97456,13103.387560000001,,3328.8669999999997,4810.8696,2289.9456376,14259.329925999999,2898.8329292,284.0142,4834.0829,12487.7353,14592.9882,11002.678133,286.20869999999996,4974.757500000001,11423.657,13569.5569,8036.299332999999,43.121457809999995,1157.2528875,9181.473399999999,14561.4422,15946.496876,6531.5204,41.080378904,1099.460425,9884.948199999999,13892.946000000002,15782.429682000002,6830.5305,41.72523281,1254.916375,8877.6676,13309.255799999999,16152.47405,6759.4731,40.747852346,1158.0410000000002,9086.5232,14607.220599999999,15720.826802,6754.952,39.790428904,1081.8811626000002,9809.174799999999,14475.2086,16037.275952,6791.903,14035.736,15677.34532,14126.526,1474.712041,12154.793854,22125.541814,15577.178998,4424.0814706,29.217840000000002,1103.8644399999998,11393.50552,12231.11347,3040.0962900000004,30.1965,1575.86545,12384.83754,11228.29693,9638.98272,427.87512814999997,344.5304805,11592.741793,6046.4990777,9628.6068456,160.01519044,7000.3037452,6140.5801671,4111.316750100001,16800.577716,160.64618606,7696.506517300001,8386.6436286,4788.2119421,15090.359216,243.12743442000001,7273.6082,2429.1853938,9310.5118914,4051.5420759999997,265.0358,3246.1618,15834.5089,14977.620599999998,10337.217736,4649.002471900001,278.9906,4559.3706,13082.7775,14660.6535,10811.07977,4507.0310738,43.245999999999995,985.52,27719.0,9056.5,11640.0,39.376,1461.7,41542.0,11573.0,15430.0,39.461999999999996,2794.3,36103.0,19459.0,21650.0,796.67064619,11001.241237,26863.774251,15355.770655999999,1136.4257025000002,7587.6986621,23622.504049,15311.483792,29.66596,1632.08418,12141.9193,7619.5008,3502.6592,4407.9637999999995,1907.6751486,14953.003647,2252.6500502999997,278.83461307000005,5079.0194828,13859.472159,16079.986157000001,13078.377478,5945.1672938,40.900384525,2583.7613647999997,7994.0086421999995,6723.9410646,15832.254594,774.25179,10986.956,13534.426,662.97072721,10752.267055,15853.095881000001,7322.964544299999,4256.244745800001,621.59047991,11443.462952,16639.939676,12212.569013,4255.6269440999995
2082,29.1687,1338.83506,11165.9173,11514.205320000001,13097.40942,,3364.7859999999996,4877.8182,2247.4897751999997,14297.380491999998,2806.7138634,284.67440000000005,4775.1028,12824.677599999999,14871.114399999999,11088.703266,285.6164,4940.936000000001,11735.663999999999,13848.8918,8441.337666,43.47582578,1117.7579,9367.5378,14446.5054,16378.966951999999,6600.4693,41.281105468,1073.3367250000001,10051.089399999999,14120.241000000002,16069.624974,6849.5665,42.20750078,1252.30125,9093.7222,13122.5386,16478.83375,6786.9862,41.239294532,1145.094875,9263.249399999999,14511.214199999999,15994.996224,6783.75,39.710642968,1067.0377002,9972.757599999999,14765.4732,16212.185564000001,6815.48,14098.362000000001,15685.948339999999,14188.272,1481.84944,12376.053318,22609.110028,15835.963716,4450.0108132,29.46648,1093.36448,11403.99984,12188.29114,3053.95978,30.5906,1605.3898000000002,12504.56348,11241.06576,9714.73504,420.05979099999996,346.09774100000004,11674.940075999999,6016.7656984000005,9821.1036472,159.59315528,7059.0850184,6174.932483199999,4162.8014412,17325.301562,160.73373192,7770.4283946000005,8481.1696152,4881.2745662,15341.407802000002,249.99746254000001,7340.5473999999995,2472.6966626,9548.0501268,4077.081347,268.25960000000003,3279.7036,16162.2778,15274.1112,10446.334802,4670.464234800001,279.9112,4514.0392,13380.895999999999,14971.051000000001,10901.874870000001,4538.2230186,43.082,983.54,27828.0,8998.0,11680.0,39.292,1439.4,42504.0,11766.0,15460.0,39.443999999999996,2779.6,37156.0,19848.0,21700.0,792.1926949799999,11031.199934,26893.623252,15511.916041999999,1142.657142,7610.215125199999,23707.699298,15511.482394,30.03752,1665.79686,12207.5336,7634.3851,3549.3364,4478.7046,1860.4230002,14966.958984,2230.5422386,280.65314334000004,5006.6751956,14228.473368,16466.392724,13185.208156,6023.9536686,40.778796390000004,2522.7224366,8059.6085934,6797.1028322,16306.121487999999,792.05588,11181.252,13596.922,675.14306132,10984.697170000001,16164.042012,7413.6438006,4294.2534606,634.70425502,11651.798814,16917.596022,12387.705966,4287.8657471999995
2083,29.546499999999998,1358.37864,11242.3109,11597.43608,13091.43128,,3400.705,4944.7668,2205.0339128,14335.431058,2714.5947975999998,285.3346,4716.1227,13161.6199,15149.2406,11174.728399,285.0241,4907.114500000001,12047.671,14128.226700000001,8846.375999,43.83019375,1078.2629125,9553.6022,14331.568599999999,16811.437028,6669.4182,41.481832032,1047.213025,10217.2306,14347.536,16356.820266,6868.6025,42.68976875,1249.6861250000002,9309.776800000001,12935.821399999999,16805.19345,6814.4992999999995,41.730736717999996,1132.14875,9439.9756,14415.2078,16269.165646,6812.548000000001,39.630857032,1052.1942378,10136.3404,15055.737799999999,16387.095176000003,6839.057,14160.988000000001,15694.55136,14250.018,1488.986839,12597.312781999999,23092.678242,16094.748434,4475.9401558,29.71512,1082.8645199999999,11414.49416,12145.468809999998,3067.82327,30.9847,1634.91415,12624.289420000001,11253.834589999999,9790.487360000001,412.24445385,347.6650015,11757.138359,5987.0323191,10013.6004488,159.17112012,7117.8662916,6209.2847993,4214.2861323,17850.025407999998,160.82127778,7844.350271900001,8575.6956018,4974.3371903,15592.456388000002,256.86749066000004,7407.4866,2516.2079314,9785.5883622,4102.620618,271.4834,3313.2454,16490.0467,15570.6018,10555.451868,4691.9259977,280.8318,4468.7078,13679.0145,15281.4485,10992.66997,4569.4149634000005,42.918,981.5600000000001,27937.0,8939.5,11720.0,39.208,1417.1,43466.0,11959.0,15490.0,39.425999999999995,2764.9,38209.0,20237.0,21750.0,787.7147437699999,11061.158631,26923.472253,15668.061427999999,1148.8885815,7632.7315883,23792.894547,15711.480996,30.40908,1699.50954,12273.1479,7649.2694,3596.0136,4549.4454,1813.1708518,14980.914321,2208.4344269,282.47167361000004,4934.330908399999,14597.474577,16852.799291000003,13292.038834,6102.7400434,40.657208255,2461.6835084,8125.2085446,6870.264599800001,16779.988382,809.8599700000001,11375.548,13659.418,687.31539543,11217.127285,16474.988143,7504.3230569,4332.2621754,647.81803013,11860.134676,17195.252368,12562.842918999999,4320.1045503
2084,29.9243,1377.92222,11318.7045,11680.66684,13085.45314,,3436.624,5011.7154,2162.5780504,14373.481624,2622.4757318,285.9948,4657.1426,13498.5622,15427.3668,11260.753532,284.4318,4873.293000000001,12359.678,14407.5616,9251.414332,44.184561720000005,1038.767925,9739.6666,14216.6318,17243.907103999998,6738.3670999999995,41.682558596,1021.089325,10383.3718,14574.831,16644.015558,6887.6385,43.172036719999994,1247.0710000000001,9525.831400000001,12749.1042,17131.55315,6842.0124,42.222178903999996,1119.202625,9616.701799999999,14319.2014,16543.335068,6841.3460000000005,39.551071096,1037.3507754,10299.9232,15346.0024,16562.004788000002,6862.633999999999,14223.614000000001,15703.15438,14311.764000000001,1496.1242379999999,12818.572246,23576.246456,16353.533152,4501.869498399999,29.96376,1072.36456,11424.98848,12102.64648,3081.68676,31.3788,1664.4385,12744.015360000001,11266.60342,9866.23968,404.4291167,349.23226200000005,11839.336642,5957.2989398,10206.0972504,158.74908496,7176.6475648000005,6243.6371154,4265.7708234,18374.749254,160.90882364,7918.2721492,8670.2215884,5067.3998144,15843.504974000001,263.73751878,7474.4258,2559.7192001999997,10023.1265976,4128.159889,274.7072,3346.7871999999998,16817.8156,15867.0924,10664.568933999999,4713.387760600001,281.7524,4423.3764,13977.133,15591.846000000001,11083.46507,4600.6069082,42.754,979.58,28046.0,8881.0,11760.0,39.124,1394.8,44428.0,12152.0,15520.0,39.407999999999994,2750.2,39262.0,20626.0,21800.0,783.2367925599999,11091.117328,26953.321254000002,15824.206814,1155.120021,7655.2480514,23878.089796,15911.479598,30.780640000000002,1733.2222199999999,12338.762200000001,7664.153700000001,3642.6908000000003,4620.1862,1765.9187034,14994.869658000001,2186.3266152,284.29020388000004,4861.9866212,14966.475786,17239.205858,13398.869512000001,6181.5264182,40.535620120000004,2400.6445802,8190.8084958,6943.4263674,17253.855276,827.6640600000001,11569.844000000001,13721.914,699.48772954,11449.557400000002,16785.934274,7595.0023132,4370.2708902,660.93180524,12068.470538,17472.908714,12737.979872,4352.3433534
2085,30.3021,1397.4658,11395.0981,11763.8976,13079.475,,3472.5429999999997,5078.664000000001,2120.122188,14411.53219,2530.356666,286.655,4598.1625,13835.5045,15705.492999999999,11346.778665,283.8395,4839.471500000001,12671.685,14686.8965,9656.452664999999,44.53892969,999.2729375,9925.731,14101.695,17676.37718,6807.316,41.88328516,994.965625,10549.513,14802.126,16931.21085,6906.6745,43.65430469,1244.455875,9741.886,12562.386999999999,17457.91285,6869.5255,42.71362109,1106.2565,9793.428,14223.195,16817.50449,6870.144,39.47128516,1022.5073130000001,10463.506,15636.267,16736.9144,6886.210999999999,14286.240000000002,15711.757399999999,14373.51,1503.2616369999998,13039.831709999999,24059.81467,16612.31787,4527.798841,30.212400000000002,1061.8645999999999,11435.482800000002,12059.82415,3095.5502500000002,31.7729,1693.96285,12863.741300000002,11279.37225,9941.992,396.61377955,350.7995225,11921.534925,5927.5655605,10398.594052,158.3270498,7235.428838,6277.9894315,4317.255514500001,18899.4731,160.99636950000001,7992.1940265,8764.747575000001,5160.462438500001,16094.55356,270.6075469,7541.365,2603.230469,10260.664832999999,4153.69916,277.93100000000004,3380.3289999999997,17145.5845,16163.582999999999,10773.686,4734.849523500001,282.673,4378.045,14275.251499999998,15902.2435,11174.260170000001,4631.798853,42.59,977.6,28155.0,8822.5,11800.0,39.04,1372.5,45390.0,12345.0,15550.0,39.39,2735.5,40315.0,21015.0,21850.0,778.75884135,11121.076024999998,26983.170255,15980.352200000001,1161.3514605,7677.7645145,23963.285045,16111.478200000001,31.1522,1766.9349,12404.3765,7679.0380000000005,3689.3680000000004,4690.927,1718.666555,15008.824995,2164.2188035,286.10873415000003,4789.642334,15335.476995,17625.612425,13505.70019,6260.312793,40.414031985,2339.6056519999997,8256.408447,7016.588135,17727.72217,845.46815,11764.14,13784.41,711.66006365,11681.987515,17096.880405,7685.6815695000005,4408.279605,674.0455803499999,12276.8064,17750.56506,12913.116825000001,4384.5821565
2086,30.6836,1425.4245799999999,11580.72156,11930.76092,13012.94326,,3523.6263999999996,5144.0542000000005,2128.7659129999997,14403.263094,2555.2784448,287.3152,4539.1824,14172.4468,15983.6192,11432.803797999999,283.24719999999996,4805.650000000001,12983.692,14966.2314,10061.490998,44.269364064,991.7767625,10192.7524,13997.112799999999,17817.262564,6843.1617,41.445753128,963.7806875,10750.3802,14978.4632,17130.924034,6931.3915,43.645732034,1237.793275,10014.828800000001,12434.267999999998,17762.663898,6904.3074,42.780840622,1091.206125,10023.171,14112.209799999999,17111.799208,6906.652700000001,39.306580472,1003.0025629,10685.6322,15603.716,16976.617548000002,6913.5647,14348.866,15720.360419999999,14435.256,1510.7207603999998,13268.624405999999,24434.193312,16927.042063999997,4558.1068304,30.46104,1051.36464,11445.977120000001,12017.00182,3109.41374,32.167,1723.4872,12983.46724,11292.14108,10017.74432,388.7984424,352.366783,12003.733208,5897.8321812,10591.090853599999,157.90501464,7294.2101112,6312.3417475999995,4368.7402056,19424.196946,161.08391536,8066.1159038000005,8859.2735616,5253.5250626,16345.602146000001,277.47757502,7608.3042,2646.7417378,10498.2030684,4179.238431,281.1548,3413.8708,17473.3534,16460.0736,10882.803066,4756.3112864,283.5936,4332.7136,14573.369999999999,16212.641,11265.05527,4662.9907978,42.426,975.62,28264.0,8764.0,11840.0,38.955999999999996,1350.2,46352.0,12538.0,15580.0,39.372,2720.8,41368.0,21404.0,21900.0,774.28089014,11151.034721999999,27013.019256,16136.497586000001,1167.5829,7700.2809775999995,24048.480294,16311.476802000001,31.491300000000003,1796.98398,12415.257020000001,7725.31822,3736.0452000000005,4761.667799999999,1671.4144066,15022.780332,2142.1109917999997,287.92726442000003,4717.2980468,15704.478204,18012.018992,13612.530868,6339.0991678,40.29244385,2278.5667237999996,8322.0083982,7089.7499026000005,18201.589064,863.27224,11958.436000000002,13846.905999999999,723.83239776,11914.41763,17407.826536,7776.3608258,4446.2883198,687.1593554599999,12485.142262,18028.221406,13088.253778,4416.8209596
2087,31.0651,1453.38336,11766.345019999999,12097.624240000001,12946.41152,,3574.7097999999996,5209.4444,2137.4096379999996,14394.993998,2580.2002236000003,287.9754,4480.2023,14509.3891,16261.7454,11518.828931,282.6549,4771.8285000000005,13295.698999999999,15245.5663,10466.529331,43.999798438,984.2805875,10459.773799999999,13892.5306,17958.147948,6879.0073999999995,41.008221096,932.5957500000001,10951.2474,15154.8004,17330.637218,6956.1085,43.637159378,1231.130675,10287.7716,12306.149,18067.414946,6939.0893,42.848060153999995,1076.15575,10252.914,14001.2246,17406.093926,6943.1614,39.141875784,983.4978128,10907.758399999999,15571.164999999999,17216.320696000002,6940.9184,14411.492,15728.96344,14497.002,1518.1798837999997,13497.417102,24808.571954,17241.766258,4588.4148198,30.70968,1040.86468,11456.471440000001,11974.179489999999,3123.2772299999997,32.5611,1753.01155,13103.19318,11304.909909999998,10093.49664,380.98310525,353.93404350000003,12085.931491,5868.098801900001,10783.587655199999,157.48297947999998,7352.9913844,6346.6940637,4420.2248967,19948.920792,161.17146122,8140.0377811,8953.7995482,5346.587686700001,16596.650732000002,284.34760314000005,7675.243399999999,2690.2530066,10735.7413038,4204.777702,284.3786,3447.4126,17801.1223,16756.5642,10991.920132,4777.7730493,284.5142,4287.3822,14871.4885,16523.0385,11355.85037,4694.1827426,42.262,973.64,28373.0,8705.5,11880.0,38.872,1327.9,47314.0,12731.0,15610.0,39.354,2706.1,42421.0,21793.0,21950.0,769.80293893,11180.993418999999,27042.868257000002,16292.642972000001,1173.8143395,7722.797440699999,24133.675543,16511.475404,31.8304,1827.03306,12426.13754,7771.59844,3782.7224,4832.4086,1624.1622582,15036.735669000002,2120.0031801,289.74579469,4644.953759599999,16073.479413,18398.425559000003,13719.361546,6417.8855426,40.170855715,2217.5277956,8387.608349400001,7162.911670200001,18675.455958,881.07633,12152.732,13909.402,736.00473187,12146.847745000001,17718.772667,7867.0400821,4484.2970346,700.2731305699999,12693.478124,18305.877752,13263.390731,4449.0597627
2088,31.4466,1481.34214,11951.96848,12264.48756,12879.879780000001,,3625.7932,5274.8346,2146.053363,14386.724902,2605.1220024,288.63559999999995,4421.2222,14846.3314,16539.8716,11604.854064,282.0626,4738.0070000000005,13607.705999999998,15524.9012,10871.567663999998,43.730232812000004,976.7844125,10726.7952,13787.9484,18099.033332,6914.8531,40.570689064,901.4108125,11152.114599999999,15331.1376,17530.350402,6980.8255,43.628586721999994,1224.468075,10560.7144,12178.029999999999,18372.165994,6973.8712000000005,42.915279686,1061.105375,10482.657,13890.239399999999,17700.388644,6979.6701,38.977171096,963.9930627,11129.8846,15538.614,17456.023844,6968.2721,14474.118,15737.56646,14558.748,1525.6390072,13726.209798,25182.950596000002,17556.490452,4618.7228092,30.95832,1030.36472,11466.965760000001,11931.35716,3137.14072,32.9552,1782.5358999999999,13222.91912,11317.67874,10169.24896,373.16776810000005,355.501304,12168.129774,5838.3654226,10976.0844568,157.06094432,7411.7726576000005,6381.0463798,4471.7095878,20473.644637999998,161.25900708,8213.9596584,9048.3255348,5439.650310800001,16847.699318,291.21763126,7742.1826,2733.7642754,10973.279539199999,4230.316973,287.6024,3480.9544,18128.8912,17053.054799999998,11101.037198,4799.2348122,285.4348,4242.0508,15169.607,16833.436,11446.64547,4725.374687400001,42.098,971.6600000000001,28482.0,8647.0,11920.0,38.788,1305.6,48276.0,12924.0,15640.0,39.336,2691.4,43474.0,22182.0,22000.0,765.32498772,11210.952115999999,27072.717258,16448.788358,1180.045779,7745.3139038,24218.870792,16711.474006,32.1695,1857.08214,12437.01806,7817.87866,3829.3996,4903.149399999999,1576.9101098,15050.691006000001,2097.8953684,291.56432496,4572.6094723999995,16442.480622,18784.832126,13826.192224,6496.6719174,40.04926758,2156.4888674,8453.208300600001,7236.073437800001,19149.322851999998,898.88042,12347.028,13971.898,748.17706598,12379.27786,18029.718797999998,7957.7193384,4522.3057494,713.3869056799999,12901.813986,18583.534098,13438.527684,4481.2985658
2089,31.828100000000003,1509.3009200000001,12137.591939999998,12431.35088,12813.34804,,3676.8766,5340.2248,2154.697088,14378.455806,2630.0437812,289.2958,4362.2420999999995,15183.2737,16817.9978,11690.879197,281.4703,4704.1855000000005,13919.713,15804.236100000002,11276.605996999999,43.460667186,969.2882375,10993.8166,13683.3662,18239.918716,6950.6988,40.133157032,870.2258750000001,11352.9818,15507.4748,17730.063586,7005.5425000000005,43.620014065999996,1217.8054750000001,10833.6572,12049.911,18676.917042,7008.6531,42.982499217999994,1046.055,10712.4,13779.2542,17994.683362,7016.1788,38.812466408,944.4883126,11352.010799999998,15506.062999999998,17695.726992,6995.6258,14536.744,15746.169479999999,14620.494,1533.0981305999999,13955.002494,25557.329238000002,17871.214646,4649.0307986,31.206960000000002,1019.8647599999999,11477.46008,11888.53483,3151.00421,33.3493,1812.06025,13342.64506,11330.44757,10245.00128,365.35243095000004,357.06856450000004,12250.328057,5808.6320433,11168.5812584,156.63890916,7470.553930800001,6415.398695899999,4523.1942789,20998.368484,161.34655294,8287.8815357,9142.8515214,5532.712934900001,17098.747904,298.08765938,7809.1218,2777.2755442,11210.8177746,4255.8562440000005,290.82620000000003,3514.4962,18456.6601,17349.5454,11210.154263999999,4820.696575100001,286.35540000000003,4196.7194,15467.725499999999,17143.8335,11537.44057,4756.566632200001,41.934000000000005,969.6800000000001,28591.0,8588.5,11960.0,38.704,1283.3,49238.0,13117.0,15670.0,39.318,2676.7,44527.0,22571.0,22050.0,760.84703651,11240.910812999999,27102.566259000003,16604.933744,1186.2772185,7767.8303669,24304.066041000002,16911.472608,32.5086,1887.13122,12447.89858,7864.15888,3876.0768000000003,4973.8902,1529.6579614,15064.646343000002,2075.7875567,293.38285523,4500.2651852,16811.481831,19171.238693,13933.022902,6575.4582922,39.927679445,2095.4499392,8518.808251800001,7309.2352054,19623.189746,916.68451,12541.324,14034.394,760.34940009,12611.707975000001,18340.664929,8048.398594700001,4560.3144642,726.5006807899999,13110.149848,18861.190444,13613.664637000002,4513.5373689
