2063,-6004.4662,-2653.94226,-5538.8599699999995,-7015.714440000001,-1689.6123000000002,-3305.4683800000003,-2264.87028,-7014.7,-6374.902,-10178.658,-3887.6279999999997,-3985.078,-1744.1532355099998,-13469.260428000001,-9607.2013441,-8710.193880800001,-7669.400252900001,-6537.786308000001,-8966.9739684,-8353.5354426,-6229.00101,-3678.1502446000004,-7593.068910399999,-7737.359493,-3396.2024885,-2396.0761302,-1265.1800000000003,-3988.3868535999995,-1450.76313761,-9401.634831700001,-9501.2241138,-831.4141874000002,-931.9509935799999,-1643.5747340000003,-544.4956503000001,-5256.3836798,-3019.5897414,-8307.9900516,-548.480335892,-7043.7113502,796.6456499999999,-9087.2799502,-7331.1239000000005,-573.04855,-4897.2042721,-5851.7889647,-5989.2899414,-3960.2382569,-5743.9182617,500.60939970000004,594.1286742,1799.8625719020001,2983.2025389,469.7203364999998,2914.2882323999997,-10190.9012696,-6203.829687699999,-9978.0129875,-11776.162014,-9716.288799999998,-14326.57409,-9042.6777,-7378.107,-9540.6424,-6525.699,-7287.9,-11122.0,-13863.0,-8541.95148,-7333.44059,-6986.75138,-7145.561860000001,-15955.68606,-9128.50907,-13913.16035,-12503.93427,-6355.22126,-7730.48155,-4638.67249,-4948.29766,-7529.90261,-7881.04641,2216.58094,1233.2933300000004,-0.5996000000001231,-1616.5834240899999,-1190.5064039,-1068.41631,3982.0424209,-3879.6441632
2064,-6252.969499999999,-2811.5332799999996,-5753.1111599999995,-7013.1925200000005,-2220.3159,-3539.88584,-2486.31474,-7633.23,-6689.786,-10053.044,-3863.4339999999997,-3949.254,-2114.33803658,-13563.311144000001,-9590.3369208,-9097.1219244,-7895.905632200001,-6958.507707000001,-9241.0749372,-8627.8985208,-6493.948829000001,-3885.6144698000003,-8007.1822532,-8143.754484,-3430.1911950000003,-2644.7686586,-1977.7400000000002,-4508.159174799999,-1863.64562938,-9605.4055086,-9698.708460400001,-1252.8370622000002,-1343.7833656399998,-1857.7552260000002,-901.6997664,-5665.263955400001,-3522.5581192,-8709.5837228,-708.720531336,-7484.470737600001,328.7755749999999,-9398.9418816,-7767.94195,-1034.85565,-5513.3937008,-6187.6242186,-6386.2882812,-4262.4883302,-6017.1063476,89.01752959999999,179.47580560000006,1552.343536536,2894.4499022,82.81494099999986,2859.7084471999997,-10460.8292968,-6532.2996096,-10246.950585,-12014.555862,-10061.5404,-14653.64292,-9453.1966,-7621.097,-10075.7792,-6570.2029999999995,-7612.2,-11336.0,-14204.0,-8935.77894,-7842.19282,-7452.29454,-7391.739780000001,-16296.38818,-9534.43276,-14298.694599999999,-12930.149459999999,-6371.01698,-8184.5977,-4756.696019999999,-5154.19498,-7951.47798,-8102.23398,2034.06652,737.7714400000004,-325.59900000000016,-1923.5296892199997,-1525.9525672,-1602.5248145,3673.1800792,-4205.067378600001
2065,-6501.4728,-2969.1243,-5967.362349999999,-7010.6706,-2751.0195,-3774.3033,-2707.7592,-8251.76,-7004.67,-9927.43,-3839.24,-3913.43,-2484.52283765,-13657.36186,-9573.472497499999,-9484.049968000001,-8122.4110115,-7379.229106000001,-9515.175906,-8902.261599000001,-6758.896648,-4093.078695,-8421.295596,-8550.149475,-3464.1799015000006,-2893.461187,-2690.3,-5027.931495999999,-2276.52812115,-9809.1761855,-9896.192807,-1674.2599370000003,-1755.6157376999997,-2071.935718,-1258.9038825,-6074.144231,-4025.5264970000003,-9111.177394,-868.96072678,-7925.230125,-139.0945,-9710.603813,-8204.76,-1496.66275,-6129.583129500001,-6523.459472500001,-6783.286620999999,-4564.7384035,-6290.294433499999,-322.57434050000006,-235.17706299999986,1304.82450117,2805.6972655,-304.0904545000001,2805.128662,-10730.757324,-6860.7695315,-10515.888182499999,-12252.94971,-10406.792,-14980.711749999999,-9863.7155,-7864.0869999999995,-10610.916000000001,-6614.707,-7936.5,-11550.0,-14545.0,-9329.6064,-8350.94505,-7917.8377,-7637.9177,-16637.0903,-9940.35645,-14684.22885,-13356.36465,-6386.8127,-8638.71385,-4874.71955,-5360.0923,-8373.05335,-8323.42155,1851.5521,242.24955000000045,-650.5984000000003,-2230.4759543499995,-1861.3987305,-2136.633319,3364.3177375,-4530.490594000001
2066,-6732.58972,-3126.71532,-6181.61354,-7009.38004,-2862.49512,-3957.0222400000002,-2871.86076,-8679.748,-7178.572,-9768.992,-3808.096,-3875.5339999999997,-2854.7076387199995,-13751.412576,-9556.6080742,-9618.6694504,-8348.916390800001,-7799.950505000001,-9789.2768748,-9176.624677200001,-7023.844467000001,-4300.5429202,-8835.4089388,-8956.544466,-3498.1686080000004,-3142.1537154000002,-3402.8600000000006,-5547.703817199999,-2689.4106129200004,-10012.9468624,-10093.677153600001,-2095.6828118000003,-2167.4481097599996,-2286.11621,-1616.1079986000002,-6483.024506600001,-4528.494874800001,-9512.771065199999,-1029.200922224,-8183.144525,-490.9787,-9955.6225444,-8465.29975,-1864.71695,-6745.7725582,-6859.2947264,-7180.2849608,-4866.9884768,-6563.4825194,-734.1662106000001,-649.8299316,1057.305465804,2716.9446288,-690.9958500000005,2750.5488767999996,-11000.6853512,-7189.2394534,-10784.82578,-12491.343558,-10752.043599999999,-15307.780579999999,-10274.2344,-8107.077,-11146.0528,-6659.211,-8260.8,-11764.0,-14886.0,-9723.433860000001,-8859.69728,-8383.380860000001,-7884.09562,-16977.79242,-10346.280139999999,-15069.7631,-13782.579839999999,-6402.60842,-9092.83,-4992.74308,-5565.98962,-8794.62872,-8544.60912,1669.03768,-253.27233999999953,-975.5978000000002,-2537.4222194799995,-2196.8448937999997,-2736.3302502,3055.4553957999997,-4855.9138094
2067,-6963.706639999999,-3284.30634,-6395.86473,-7008.089480000001,-2973.9707399999998,-4139.74118,-3035.96232,-9107.736,-7352.474,-9610.554,-3776.9519999999998,-3837.638,-3224.8924397899996,-13845.463292,-9539.7436509,-9753.2889328,-8575.4217701,-8220.671904,-10063.3778436,-9450.987755400001,-7288.792286000001,-4508.0071454,-9249.522281599999,-9362.939457,-3532.1573145,-3390.8462438,-4115.42,-6067.476138399999,-3102.2931046900003,-10216.7175393,-10291.1615002,-2517.1056866000004,-2579.2804818199993,-2500.296702,-1973.3121147,-6891.904782200001,-5031.4632526000005,-9914.364736399999,-1189.441117668,-8441.058925,-842.8629000000001,-10200.6412758,-8725.8395,-2232.77115,-7361.9619869,-7195.1299803,-7577.2833006,-5169.2385501,-6836.6706053,-1145.7580807000002,-1064.4828001999997,809.786430438,2628.1919921,-1077.9012455000004,2695.9690916,-11270.6133784,-7517.709375299999,-11053.7633775,-12729.737406,-11097.295199999999,-15634.849409999999,-10684.7533,-8350.067000000001,-11681.1896,-6703.715,-8585.1,-11978.0,-15227.0,-10117.261320000001,-9368.44951,-8848.92402,-8130.27354,-17318.49454,-10752.203829999999,-15455.297349999999,-14208.79503,-6418.40414,-9546.94615,-5110.76661,-5771.88694,-9216.204090000001,-8765.79669,1486.52326,-748.7942299999995,-1300.5972000000002,-2844.3684846099995,-2532.2910570999998,-3336.0271814,2746.5930541,-5181.3370248
2068,-7194.82356,-3441.89736,-6610.11592,-7006.79892,-3085.44636,-4322.46012,-3200.06388,-9535.724,-7526.376,-9452.116,-3745.808,-3799.7419999999997,-3595.0772408599996,-13939.514008000002,-9522.8792276,-9887.908415200001,-8801.9271494,-8641.393303,-10337.4788124,-9725.350833600001,-7553.740105000001,-4715.4713706,-9663.635624399998,-9769.334448,-3566.1460210000005,-3639.5387722000005,-4827.9800000000005,-6587.2484595999995,-3515.17559646,-10420.488216200001,-10488.6458468,-2938.5285614000004,-2991.1128538799994,-2714.477194,-2330.5162308,-7300.785057800001,-5534.4316304,-10315.9584076,-1349.681313112,-8698.973325,-1194.7471,-10445.6600072,-8986.37925,-2600.82535,-7978.151415600001,-7530.965234200001,-7974.2816404,-5471.4886234000005,-7109.858691199999,-1557.3499508000002,-1479.1356687999998,562.267395072,2539.4393554,-1464.8066410000004,2641.3893064,-11540.5414056,-7846.179297199999,-11322.700975,-12968.131254,-11442.5468,-15961.918239999999,-11095.2722,-8593.057,-12216.3264,-6748.219,-8909.4,-12192.0,-15568.0,-10511.088780000002,-9877.20174,-9314.46718,-8376.45146,-17659.19666,-11158.12752,-15840.8316,-14635.01022,-6434.19986,-10001.0623,-5228.79014,-5977.78426,-9637.779460000002,-8986.98426,1304.00884,-1244.3161199999995,-1625.5966000000003,-3151.3147497399996,-2867.7372204,-3935.7241126,2437.7307124,-5506.7602402
2069,-7425.940479999999,-3599.48838,-6824.36711,-7005.508360000001,-3196.9219799999996,-4505.17906,-3364.16544,-9963.712000000001,-7700.278,-9293.678,-3714.6639999999998,-3761.846,-3965.2620419299997,-14033.564724000002,-9506.014804299999,-10022.5278976,-9028.4325287,-9062.114702,-10611.5797812,-9999.713911800001,-7818.687924000001,-4922.9355958,-10077.7489672,-10175.729439,-3600.1347275000007,-3888.2313006000004,-5540.540000000001,-7107.0207808,-3928.05808823,-10624.258893100001,-10686.1301934,-3359.9514362000004,-3402.9452259399995,-2928.657686,-2687.7203469000005,-7709.6653334,-6037.4000082,-10717.5520788,-1509.921508556,-8956.887725,-1546.6313,-10690.678738600001,-9246.919,-2968.87955,-8594.3408443,-7866.800488100001,-8371.279980199999,-5773.7386967,-7383.046777099999,-1968.9418209000003,-1893.7885374,314.748359706,2450.6867187000003,-1851.7120365000003,2586.8095212,-11810.4694328,-8174.6492191,-11591.6385725,-13206.525102,-11787.7984,-16288.98707,-11505.791099999999,-8836.047,-12751.4632,-6792.723,-9233.7,-12406.0,-15909.0,-10904.91624,-10385.95397,-9780.01034,-8622.62938,-17999.89878,-11564.05121,-16226.365849999998,-15061.22541,-6449.99558,-10455.17845,-5346.81367,-6183.68158,-10059.35483,-9208.17183,1121.49442,-1739.8380099999995,-1950.5960000000005,-3458.2610148699996,-3203.1833837,-4535.4210438,2128.8683707,-5832.1834556
2070,-7657.0574,-3757.0794,-7038.6183,-7004.2178,-3308.3976,-4687.898,-3528.2670000000003,-10391.7,-7874.18,-9135.24,-3683.52,-3723.95,-4335.446843,-14127.615440000001,-9489.150381,-10157.14738,-9254.937908,-9482.836101,-10885.68075,-10274.076990000001,-8083.635743000001,-5130.399821,-10491.862309999999,-10582.12443,-3634.1234340000005,-4136.923829,-6253.1,-7626.793102,-4340.9405799999995,-10828.02957,-10883.61454,-3781.374311,-3814.7775979999997,-3142.838178,-3044.924463,-8118.545609000001,-6540.368386,-11119.14575,-1670.1617039999999,-9214.802125,-1898.5155,-10935.697470000001,-9507.45875,-3336.93375,-9210.530273,-8202.635742,-8768.27832,-6075.98877,-7656.234863,-2380.533691,-2308.441406,67.22932434,2361.934082,-2238.617432,2532.229736,-12080.39746,-8503.119141,-11860.57617,-13444.91895,-12133.05,-16616.0559,-11916.31,-9079.037,-13286.6,-6837.227,-9558.0,-12620.0,-16250.0,-11298.7437,-10894.7062,-10245.5535,-8868.8073,-18340.6009,-11969.9749,-16611.9001,-15487.4406,-6465.7913,-10909.2946,-5464.8372,-6389.5789,-10480.9302,-9429.3594,938.98,-2235.3599,-2275.5954,-3765.2072799999996,-3538.629547,-5135.117975,1820.006029,-6157.6066710000005
2071,-7782.80004,-3815.19334,-7133.67474,-6998.90584,-2977.9791,-4819.5774200000005,-3680.7724000000003,-10674.76,-7917.682,-8955.612,-3648.644,-3685.5339999999997,-4744.001117899999,-14532.650781000002,-9756.6888499,-10146.736948,-9330.2193372,-9470.508366600001,-10838.484143,-10196.1199503,-8084.089689900001,-5204.3000286,-10506.724752999999,-10631.391235,-3480.1152207000005,-4460.251990600001,-7091.01,-8118.0861798,-4785.2515496,-11013.004256,-11066.241002,-4149.2270792,-4170.832586099999,-3309.1772138,-3342.9851965,-8499.9059321,-6947.2179654,-11419.270126,-1749.3659770999998,-9533.222376,-2369.1905,-11295.160944000001,-9801.447326,-3792.85705,-9581.9650387,-8354.681445100001,-8951.714746,-5984.9366703,-7814.3092283,-2615.9485836000003,-2564.5104978,-115.27993619399999,2310.9708618000004,-2476.8173099,2481.0370725,-12240.081054,-8688.5280279,-12026.643065,-13584.537601999999,-12208.239,-16612.97838,-12019.360999999999,-9229.6343,-13481.94,-6862.0337,-9741.2,-12722.0,-16418.0,-11482.76073,-11186.62505,-10559.01917,-9070.105,-18391.716200000003,-12154.580199999999,-16694.58974,-15629.12209,-6415.14451,-11108.728579999999,-5521.09422,-6449.915440000001,-10645.56976,-9431.47322,866.99303,-2560.02728,-2411.3624400000003,-4110.845949699999,-3909.3332398000002,-5769.9543136,1447.0252229999999,-6640.7353669
2072,-7908.54268,-3873.30728,-7228.73118,-6993.59388,-2647.5606,-4951.25684,-3833.2778000000003,-10957.82,-7961.184,-8775.984,-3613.768,-3647.118,-5152.5553928,-14937.686122000001,-10024.2273188,-10136.326516000001,-9405.5007664,-9458.180632200001,-10791.287536,-10118.162910600002,-8084.543636800001,-5278.2002362,-10521.587195999999,-10680.65804,-3326.1070074000004,-4783.5801522,-7928.92,-8609.3792576,-5229.5625192,-11197.978942,-11248.867464,-4517.0798474,-4526.8875742,-3475.5162496,-3641.0459299999998,-8881.2662552,-7354.0675448,-11719.394502,-1828.5702502,-9851.642627,-2839.8655,-11654.624418000001,-10095.435902,-4248.78035,-9953.3998044,-8506.7271482,-9135.151172,-5893.8845706,-7972.3835936,-2851.3634762,-2820.5795896,-297.789196728,2260.0076416,-2715.0171878,2429.844409,-12399.764648,-8873.936914799999,-12192.70996,-13724.156254,-12283.428,-16609.900859999998,-12122.412,-9380.231600000001,-13677.28,-6886.8404,-9924.4,-12824.0,-16586.0,-11666.77776,-11478.5439,-10872.48484,-9271.4027,-18442.8315,-12339.1855,-16777.27938,-15770.80358,-6364.49772,-11308.162559999999,-5577.35124,-6510.25198,-10810.20932,-9433.58704,795.00606,-2884.69466,-2547.12948,-4456.484619399999,-4280.0369326,-6404.790652200001,1074.044417,-7123.8640628
2073,-8034.28532,-3931.42122,-7323.78762,-6988.28192,-2317.1421,-5082.93626,-3985.7832,-11240.880000000001,-8004.686,-8596.356,-3578.892,-3608.7019999999998,-5561.1096677,-15342.721463000002,-10291.7657877,-10125.916084,-9480.7821956,-9445.8528978,-10744.090929,-10040.205870900001,-8084.9975837,-5352.1004438,-10536.449638999999,-10729.924845,-3172.0987941000003,-5106.9083138000005,-8766.830000000002,-9100.672335399999,-5673.8734888,-11382.953628000001,-11431.493926,-4884.932615600001,-4882.9425623,-3641.8552854,-3939.1066634999997,-9262.6265783,-7760.9171242,-12019.518877999999,-1907.7745233,-10170.062878,-3310.5405,-12014.087892,-10389.424478,-4704.70365,-10324.8345701,-8658.7728513,-9318.587598,-5802.8324709,-8130.4579588999995,-3086.7783688,-3076.6486814,-480.298457262,2209.0444214,-2953.2170656999997,2378.6517455,-12559.448242,-9059.3458017,-12358.776855,-13863.774905999999,-12358.617,-16606.82334,-12225.463,-9530.8289,-13872.62,-6911.6471,-10107.6,-12926.0,-16754.0,-11850.79479,-11770.46275,-11185.95051,-9472.7004,-18493.9468,-12523.790799999999,-16859.96902,-15912.485069999999,-6313.85093,-11507.59654,-5633.60826,-6570.58852,-10974.848880000001,-9435.700859999999,723.01909,-3209.36204,-2682.8965200000002,-4802.1232891,-4650.7406254,-7039.626990800001,701.063611,-7606.9927587
2074,-8160.027959999999,-3989.53516,-7418.84406,-6982.96996,-1986.7236,-5214.61568,-4138.2886,-11523.94,-8048.188,-8416.728000000001,-3544.016,-3570.286,-5969.6639426,-15747.756804,-10559.3042566,-10115.505652000002,-9556.063624800001,-9433.5251634,-10696.894322,-9962.2488312,-8085.4515306,-5426.0006514,-10551.312081999999,-10779.19165,-3018.0905808000007,-5430.236475400001,-9604.740000000002,-9591.9654132,-6118.184458399999,-11567.928314,-11614.120388,-5252.7853838,-5238.997550399999,-3808.1943211999996,-4237.167397,-9643.9869014,-8167.7667036,-12319.643253999999,-1986.9787964,-10488.483129,-3781.2155000000002,-12373.551366,-10683.413054,-5160.62695,-10696.2693358,-8810.8185544,-9502.024024,-5711.7803711999995,-8288.5323242,-3322.1932614,-3332.7177732,-662.8077177959999,2158.0812012,-3191.4169435999997,2327.459082,-12719.131836,-9244.7546886,-12524.84375,-14003.393558,-12433.806,-16603.74582,-12328.514,-9681.4262,-14067.960000000001,-6936.4538,-10290.8,-13028.0,-16922.0,-12034.81182,-12062.3816,-11499.41618,-9673.9981,-18545.0621,-12708.3961,-16942.65866,-16054.16656,-6263.20414,-11707.03052,-5689.86528,-6630.9250600000005,-11139.488440000001,-9437.81468,651.0321200000001,-3534.02942,-2818.66356,-5147.7619588,-5021.4443181999995,-7674.463329400001,328.082805,-8090.121454600001
2075,-8285.7706,-4047.6490999999996,-7513.9005,-6977.658,-1656.3051,-5346.2951,-4290.794,-11807.0,-8091.69,-8237.1,-3509.14,-3531.87,-6378.2182175,-16152.792145000001,-10826.842725499999,-10105.095220000001,-9631.345054000001,-9421.197429,-10649.697714999998,-9884.2917915,-8085.9054775,-5499.900858999999,-10566.174524999999,-10828.458455,-2864.0823675,-5753.564637,-10442.650000000001,-10083.258491,-6562.495428,-11752.903,-11796.74685,-5620.6381519999995,-5595.0525385,-3974.533357,-4535.2281305,-10025.347224500001,-8574.616283,-12619.767629999998,-2066.1830695,-10806.90338,-4251.8905,-12733.01484,-10977.40163,-5616.55025,-11067.7041015,-8962.864257500001,-9685.460449999999,-5620.7282715,-8446.6066895,-3557.6081540000005,-3588.786865,-845.31697833,2107.1179810000003,-3429.6168215,2276.2664185,-12878.815429999999,-9430.163575499999,-12690.910645,-14143.012209999999,-12508.994999999999,-16600.668299999998,-12431.564999999999,-9832.0235,-14263.3,-6961.2605,-10474.0,-13130.0,-17090.0,-12218.82885,-12354.30045,-11812.88185,-9875.2958,-18596.1774,-12893.0014,-17025.348299999998,-16195.84805,-6212.55735,-11906.4645,-5746.1223,-6691.2616,-11304.128,-9439.9285,579.04515,-3858.6967999999997,-2954.4306,-5493.4006285,-5392.148011,-8309.299668000001,-44.89800100000002,-8573.2501505
2076,-8312.41364,-4105.76304,-7608.95694,-6964.78466,-1722.58088,-5492.77846,-4444.4271,-11991.72,-8050.472,-8047.176,-3472.928,-3493.83,-6786.7724923999995,-16557.827486000002,-11094.3811944,-10088.035730000001,-9706.6264832,-9408.8696946,-10602.501107999999,-9806.334751800001,-8086.3594244000005,-5573.8010666,-10581.036968,-10877.72526,-2710.0741542000005,-6076.892798600001,-11280.560000000001,-10574.5515688,-7006.806397599999,-11937.877686,-11979.373312,-5988.4909202,-5951.1075266,-4140.8723928,-4833.288864,-10406.707547599999,-8981.4658624,-12919.892005999998,-2145.3873426,-11079.624692,-4627.238575,-13072.690248,-11302.079792,-6017.1921,-11439.1388672,-9114.9099606,-9868.896875999999,-5529.6761718,-8604.6810548,-3793.0230466000003,-3844.8559568,-1027.826238864,2056.1547608,-3667.8166994,2225.073755,-13038.499023999999,-9615.5724624,-12856.97754,-14282.630861999998,-12584.184,-16597.59078,-12534.616,-9982.6208,-14458.64,-6986.0671999999995,-10657.2,-13232.0,-17258.0,-12402.84588,-12646.2193,-12126.34752,-10076.593499999999,-18647.2927,-13077.6067,-17108.03794,-16337.52954,-6161.91056,-12105.89848,-5802.37932,-6751.59814,-11468.76756,-9442.04232,507.05818,-4183.36418,-3090.1976400000003,-5839.039298199999,-5762.8517038,-8769.1377264,-417.8788069999998,-9056.3788464
2077,-8339.05668,-4163.87698,-7704.01338,-6951.91132,-1788.85666,-5639.261820000001,-4598.0602,-12176.44,-8009.254,-7857.252,-3436.716,-3455.79,-7195.326767299999,-16962.862827,-11361.9196633,-10070.976240000002,-9781.9079124,-9396.5419602,-10555.304500999999,-9728.3777121,-8086.813371300001,-5647.7012742,-10595.899411,-10926.992065,-2556.0659409000004,-6400.2209602,-12118.470000000001,-11065.844646599999,-7451.1173671999995,-12122.852372,-12161.999774,-6356.3436884,-6307.1625146999995,-4307.2114286,-5131.3495975000005,-10788.0678707,-9388.315441800001,-13220.016382,-2224.5916157,-11352.346003999999,-5002.58665,-13412.365656,-11626.757954,-6417.83395,-11810.573632900001,-9266.9556637,-10052.333302,-5438.6240720999995,-8762.755420099998,-4028.4379392,-4100.9250486,-1210.335499398,2005.1915406,-3906.0165773,2173.8810915,-13198.182617999999,-9800.9813493,-13023.044435,-14422.249514,-12659.373,-16594.51326,-12637.667,-10133.2181,-14653.98,-7010.8739,-10840.4,-13334.0,-17426.0,-12586.86291,-12938.13815,-12439.813189999999,-10277.8912,-18698.408,-13262.212,-17190.72758,-16479.21103,-6111.2637700000005,-12305.33246,-5858.63634,-6811.93468,-11633.40712,-9444.156140000001,435.07121,-4508.031559999999,-3225.96468,-6184.677967899999,-6133.555396600001,-9228.9757848,-790.8596129999999,-9539.507542300002
2078,-8365.69972,-4221.99092,-7799.069820000001,-6939.03798,-1855.1324399999999,-5785.74518,-4751.6933,-12361.16,-7968.036,-7667.3279999999995,-3400.504,-3417.75,-7603.8810422,-17367.898168,-11629.4581322,-10053.91675,-9857.1893416,-9384.214225799999,-10508.107893999999,-9650.4206724,-8087.2673182,-5721.601481799999,-10610.761854,-10976.25887,-2402.0577276000004,-6723.549121800001,-12956.380000000001,-11557.1377244,-7895.4283368,-12307.827058,-12344.626235999998,-6724.196456600001,-6663.2175028,-4473.550464399999,-5429.410331,-11169.4281938,-9795.1650212,-13520.140758,-2303.7958888000003,-11625.067316,-5377.934725,-13752.041064000001,-11951.436116,-6818.4758,-12182.0083986,-9419.001366800001,-10235.769728,-5347.571972399999,-8920.8297854,-4263.852831800001,-4356.9941404,-1392.844759932,1954.2283204,-4144.2164551999995,2122.688428,-13357.866211999999,-9986.3902362,-13189.11133,-14561.868165999998,-12734.562,-16591.43574,-12740.717999999999,-10283.8154,-14849.32,-7035.6806,-11023.6,-13436.0,-17594.0,-12770.879939999999,-13230.057,-12753.278859999999,-10479.1889,-18749.5233,-13446.817299999999,-17273.41722,-16620.89252,-6060.61698,-12504.766440000001,-5914.89336,-6872.2712200000005,-11798.046680000001,-9446.26996,363.08424,-4832.69894,-3361.73172,-6530.316637599999,-6504.2590894,-9688.8138432,-1163.8404189999999,-10022.6362382
2079,-8392.34276,-4280.1048599999995,-7894.12626,-6926.16464,-1921.40822,-5932.22854,-4905.3264,-12545.880000000001,-7926.818,-7477.4039999999995,-3364.292,-3379.71,-8012.4353171,-17772.933509000002,-11896.9966011,-10036.85726,-9932.4707708,-9371.886491399999,-10460.911286999999,-9572.4636327,-8087.7212651,-5795.5016894,-10625.624297,-11025.525675,-2248.0495143000003,-7046.877283400001,-13794.29,-12048.4308022,-8339.739306399999,-12492.801744,-12527.252697999998,-7092.0492248,-7019.272490900001,-4639.8895002,-5727.4710645,-11550.7885169,-10202.0146006,-13820.265134,-2383.0001619,-11897.788628,-5753.2828,-14091.716472,-12276.114278000001,-7219.11765,-12553.4431643,-9571.0470699,-10419.206154,-5256.5198727,-9078.9041507,-4499.267724400001,-4613.0632322,-1575.354020466,1903.2651002,-4382.4163331,2071.4957645,-13517.549805999999,-10171.7991231,-13355.178225,-14701.486818,-12809.751,-16588.35822,-12843.769,-10434.4127,-15044.66,-7060.4873,-11206.8,-13538.0,-17762.0,-12954.89697,-13521.97585,-13066.74453,-10680.4866,-18800.6386,-13631.4226,-17356.10686,-16762.57401,-6009.97019,-12704.200420000001,-5971.15038,-6932.60776,-11962.68624,-9448.38378,291.09727,-5157.366319999999,-3497.4987600000004,-6875.955307299999,-6874.9627822,-10148.6519016,-1536.821225,-10505.7649341
2080,-8418.9858,-4338.2188,-7989.1827,-6913.2913,-1987.684,-6078.7119,-5058.9595,-12730.6,-7885.6,-7287.48,-3328.08,-3341.67,-8420.989592,-18177.96885,-12164.53507,-10019.797770000001,-10007.7522,-9359.558756999999,-10413.71468,-9494.506593,-8088.175212,-5869.401897,-10640.48674,-11074.79248,-2094.041301,-7370.2054450000005,-14632.2,-12539.72388,-8784.050276,-12677.77643,-12709.879159999999,-7459.901993,-7375.3274790000005,-4806.228536,-6025.531798,-11932.14884,-10608.86418,-14120.389509999999,-2462.204435,-12170.50994,-6128.630875,-14431.391880000001,-12600.792440000001,-7619.7595,-12924.87793,-9723.092773,-10602.64258,-5165.467772999999,-9236.978516,-4734.682617,-4869.132324,-1757.863281,1852.30188,-4620.616211,2020.3031010000002,-13677.2334,-10357.20801,-13521.24512,-14841.105469999999,-12884.94,-16585.2807,-12946.82,-10585.01,-15240.0,-7085.294,-11390.0,-13640.0,-17930.0,-13138.913999999999,-13813.8947,-13380.2102,-10881.7843,-18851.7539,-13816.0279,-17438.7965,-16904.2555,-5959.3234,-12903.6344,-6027.4074,-6992.9443,-12127.3258,-9450.4976,219.1103,-5482.0337,-3633.2658,-7221.5939769999995,-7245.666475,-10608.489959999999,-1909.802031,-10988.89363
2081,-8549.63366,-4343.446199999999,-8030.99118,-6906.48084,-1846.14078,-6250.79274,-5244.61418,-12869.78,-7798.858,-7094.911999999999,-3292.0499999999997,-3304.542,-8875.2730488,-18712.416572000002,-12766.13951,-9967.522705200001,-9983.501980100002,-9184.110636899999,-10385.280019999998,-9486.234661,-8003.7388432,-5856.535934199999,-10591.424215000001,-11098.752661,-1900.42269514,-7689.955652500001,-15873.68,-12666.396797,-9225.254523399999,-12783.858726999999,-12814.480198,-7727.664997700001,-7642.742107100001,-4893.5129865,-6237.4024925,-12170.524021,-10789.06582,-14360.500512999999,-2546.2090075,-12664.894902,-6520.294475,-14715.141636,-12867.774490000002,-7951.630975,-13453.815918,-9852.623241700001,-10718.179103,-5138.7332516,-9311.3934574,-4870.6521971,-4998.2784178,-1916.0045652,1766.92276012,-4764.6200684,1939.5986698000002,-13755.792775,-10496.006643,-13608.51885,-14854.394728,-12871.345000000001,-16497.10159,-12936.693,-10638.59,-15456.206,-7102.5983,-11528.0,-13600.0,-18092.0,-13245.34197,-13949.954960000001,-13545.980749999999,-11050.28954,-18819.33854,-13899.982469999999,-17456.62102,-16942.91249,-5977.086,-12977.006720000001,-6147.98367,-7085.077,-12250.984410000001,-9427.65742,66.4442,-5736.31543,-3700.6304600000003,-7424.094898599999,-7456.9982108,-11026.488614,-2299.0337153,-11362.309196
2082,-8680.28152,-4348.6736,-8072.799660000001,-6899.6703800000005,-1704.5975600000002,-6422.87358,-5430.26886,-13008.960000000001,-7712.116,-6902.344,-3256.02,-3267.414,-9329.5565056,-19246.864294,-13367.74395,-9915.2476404,-9959.2517602,-9008.6625168,-10356.84536,-9477.962729,-7919.3024744,-5843.6699714,-10542.36169,-11122.712842,-1706.8040892800002,-8009.70586,-17115.16,-12793.069714,-9666.4587708,-12889.941024,-12919.081235999998,-7995.4280024,-7910.1567352,-4980.797436999999,-6449.273187,-12408.899202,-10969.267460000001,-14600.611515999999,-2630.21358,-13159.279864,-6911.958075,-14998.891392,-13134.75654,-8283.50245,-13982.753906,-9982.1537104,-10833.715626,-5111.9987302,-9385.8083988,-5006.6217772,-5127.4245116,-2074.1458494,1681.54364024,-4908.6239258,1858.8942386,-13834.352149999999,-10634.805276000001,-13695.79258,-14867.683985999998,-12857.75,-16408.92248,-12926.565999999999,-10692.17,-15672.412,-7119.902599999999,-11666.0,-13560.0,-18254.0,-13351.769939999998,-14086.015220000001,-13711.7513,-11218.79478,-18786.923179999998,-13983.937039999999,-17474.44554,-16981.56948,-5994.8486,-13050.37904,-6268.55994,-7177.2097,-12374.64302,-9404.81724,-86.2219,-5990.59716,-3767.99512,-7626.5958202,-7668.3299466,-11444.487267999999,-2688.2653996,-11735.724762
